Employee_number,Employee_name,Employee_age,Maritial_Status,Current_Salary,Number_of_Children,years_experience,past_projects,current_projects,Divorced_earlier,Father_alive,Mother_alive,performance_rating,Education_level,Department,Role,Job_Satisfaction,Work_Life_Balance,is_outlier
10001,Karen Anderson,36,True,116138,2,12,6,1,No,Yes,Yes,3,Bachelor's,R&D,Researcher,10.0,1.9364539828239167,0
10002,David Taylor,34,False,82171,3,10,5,0,Yes,Yes,No,5,Diploma,HR,HR Executive,10.0,4.0777277649217,0
10003,Nina Kumar,36,False,48600,1,0,2,3,Yes,Yes,Yes,4,Diploma,Sales,Sales Manager,10.0,3.9756223540249507,0
10004,John Patel,42,True,39675,1,2,4,2,Yes,Yes,Yes,3,Diploma,Engineering,Software Engineer,1.0,3.7909514871475474,0
10005,Emily Sharma,27,True,161304,3,3,11,2,Yes,Yes,Yes,2,High School,R&D,Scientist,8.251832926445692,10.0,0
10006,Leo Patel,38,False,87651,0,8,10,0,No,Yes,Yes,2,Master's,Operations,Operations Coordinator,8.59194627554982,4.097745635679665,0
10007,Arun Smith,29,False,76916,1,7,14,3,Yes,No,Yes,3,Bachelor's,R&D,Researcher,9.01021354565237,1.0,0
10008,Aisha Lewis,37,True,62465,1,8,10,2,No,Yes,Yes,2,Master's,R&D,Researcher,4.736448964610613,6.506922731036559,0
10009,Arun Thomas,42,True,71206,1,17,4,1,No,Yes,No,3,High School,HR,HR Executive,4.5808196575698705,7.338171844648392,0
10010,Olivia Thompson,26,True,30000,0,3,4,3,No,Yes,Yes,5,High School,Engineering,DevOps Engineer,1.2542378588338217,2.5060485701570254,0
10011,Olivia Davis,36,True,76188,0,4,13,1,Yes,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,10.0,6.236470723184855,0
10012,Luke Iyer,24,False,40313,1,0,7,3,No,No,Yes,4,Diploma,R&D,Scientist,6.378298205426781,7.937917731782331,0
10013,Olivia Patel,24,True,37416,0,0,9,0,No,Yes,Yes,5,Master's,Support,Customer Specialist,3.3090835365561,1.0,0
10014,Kiran Lewis,26,True,30000,2,5,6,1,No,Yes,Yes,2,Bachelor's,Support,Customer Specialist,10.0,1.0,0
10015,Rohit Wilson,40,False,30000,1,7,2,0,No,Yes,Yes,5,Diploma,R&D,Researcher,1.4609905961689584,2.6926978691880694,0
10016,Emily Anderson,54,True,99905,3,16,10,1,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,6.6603809138970576,2.622619011417521,0
10017,Rohit Thomas,21,False,80313,2,0,9,2,No,No,Yes,3,Bachelor's,Engineering,DevOps Engineer,9.280977662111566,4.424108858338855,0
10018,Michael Williams,33,False,35421,2,3,4,3,Yes,Yes,Yes,3,Bachelor's,Support,Customer Specialist,2.982658289327599,2.0040817606005152,0
10019,David Smith,47,False,30000,0,22,14,2,No,Yes,Yes,4,High School,Operations,Ops Manager,1.9462863877661265,1.2455816474934984,0
10020,Sarah Lewis,36,True,30000,1,7,9,3,Yes,Yes,Yes,1,Diploma,Operations,Ops Manager,10.0,1.9017309583120188,0
10021,Daniel Williams,45,False,79450,2,16,6,2,No,Yes,Yes,3,Diploma,Sales,Account Executive,2.7509181881922498,1.0,0
10022,Aisha Miller,60,False,30000,0,25,2,3,No,Yes,Yes,5,PhD,Operations,Operations Coordinator,4.714491798503773,4.487637852954908,0
